scen,Pothole,rankm,Drainage,Tillage,lulc.pothole,lulc.field,capa.ratio,max.h2oshed.relief,max.flow.path,max.depth,catm3,catm6
BaseRetiredNT,hen,1.705310032,none,notill,R,CS,6.9,4.48,229.8,0.5,c,e
ConTill,hen,2.190369869,none,contill,CS,CS,6.9,4.48,229.8,0.5,b,d
ConTillDrain1,hen,1.819590801,low,contill,CS,CS,6.9,4.48,229.8,0.5,c,e
ConTillDrain2,hen,1.025620788,medium,contill,CS,CS,6.9,4.48,229.8,0.5,c,e
ConTillDrain3,hen,0.47273782,high,contill,CS,CS,6.9,4.48,229.8,0.5,c,f
ConTillRetired,hen,7.3639987,none,contill,R,CS,6.9,4.48,229.8,0.5,a,b
CoverCrop,hen,1.348375814,none,notill,CS,CS,6.9,4.48,229.8,0.5,c,e
Drain0,hen,7.472628943,none,conventional,CS,CS,6.9,4.48,229.8,0.5,a,b
Drain1,hen,1.948976724,low,conventional,CS,CS,6.9,4.48,229.8,0.5,c,e
Drain2,hen,1.037040944,medium,conventional,CS,CS,6.9,4.48,229.8,0.5,c,e
Drain3,hen,0.481144988,high,conventional,CS,CS,6.9,4.48,229.8,0.5,c,f
Drain0CT,hen,7.3639987,none,contill,CS,CS,6.9,4.48,229.8,0.5,a,b
Drain0NT,hen,5.597699811,none,notill,CS,CS,6.9,4.48,229.8,0.5,a,c
Drain1NT,hen,1.431956212,low,notill,CS,CS,6.9,4.48,229.8,0.5,c,e
Drain1Retired,hen,1.957454907,low,conventional,R,CS,6.9,4.48,229.8,0.5,c,e
Drain1RetiredAll,hen,0.325988551,low,N/A,R,CS,6.9,4.48,229.8,0.5,c,f
Drain1RetiredCT,hen,1.819590801,low,contill,R,CS,6.9,4.48,229.8,0.5,c,e
Drain1RetiredNT,hen,1.431956212,low,notill,R,CS,6.9,4.48,229.8,0.5,c,e
Drain2NT,hen,0.726072653,medium,notill,CS,CS,6.9,4.48,229.8,0.5,c,f
Drain2Retired,hen,1.049304204,medium,conventional,R,CS,6.9,4.48,229.8,0.5,c,e
Drain2RetiredAll,hen,0.138667655,medium,N/A,R,CS,6.9,4.48,229.8,0.5,c,f
Drain2RetiredCT,hen,1.025620788,medium,contill,R,CS,6.9,4.48,229.8,0.5,c,e
Drain2RetiredNT,hen,0.726072653,medium,notill,R,CS,6.9,4.48,229.8,0.5,c,f
Drain3NT,hen,0.366012801,high,notill,CS,CS,6.9,4.48,229.8,0.5,c,f
Drain3Retired,hen,0.480565278,high,conventional,R,CS,6.9,4.48,229.8,0.5,c,f
Drain3RetiredAll,hen,0.051612309,high,N/A,R,CS,6.9,4.48,229.8,0.5,c,f
Drain3RetiredCT,hen,0.47273782,high,contill,R,CS,6.9,4.48,229.8,0.5,c,f
Drain3RetiredNT,hen,0.366012801,high,notill,R,CS,6.9,4.48,229.8,0.5,c,f
